City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,21.96,79,30,6.45,MU,1721776965
1,chonchi,-42.6128,-73.8092,8.4,87,96,1.99,CL,1721776966
2,waitangi,-43.9535,-176.5597,9.34,99,100,4.92,NZ,1721776967
3,ribeira grande,38.5167,-28.7,23.21,83,4,3.13,PT,1721776967
4,adamstown,-25.066,-130.1015,18.77,65,90,10.59,PN,1721776968
5,margaret river,-33.95,115.0667,12.71,67,93,7.12,AU,1721776968
6,port victoria,0.0939,33.9756,21.23,77,100,2.13,KE,1721776815
7,tazovsky,67.4667,78.7,7.68,68,95,6.68,RU,1721776969
8,hithadhoo,-0.6,73.0833,28.71,74,100,4.04,MV,1721776970
9,isafjordur,66.0755,-23.124,9.1,94,100,3.39,IS,1721776970
10,richards bay,-28.783,32.0377,18.41,87,23,3.88,ZA,1721776971
11,cabo san lucas,22.8909,-109.9124,32.17,57,0,4.63,MX,1721776972
12,enewetak,11.3474,162.3373,28.44,77,21,6.01,MH,1721776972
13,benjamin aceval,-24.9667,-57.5667,23.11,37,76,2.04,PY,1721776973
14,ta`u,-14.2336,-169.5144,26.89,67,87,8.76,AS,1721776973
15,sumbawa besar,-8.5,117.4333,21.81,90,30,1.54,ID,1721776974
16,alo,6.5486,4.2686,24.35,87,77,3.48,NG,1721776975
17,anadyr,64.75,177.4833,18.28,63,0,8.0,RU,1721776975
18,bethel,41.3712,-73.414,23.64,87,100,2.06,US,1721776772
19,tura,25.5198,90.2201,24.93,96,100,2.42,IN,1721776748
20,sarmiento,-45.5882,-69.07,10.93,57,59,3.24,AR,1721776796
21,port-aux-francais,-49.35,70.2167,2.54,98,100,12.12,TF,1721776977
22,tralee,52.2704,-9.7026,14.54,90,99,1.68,IE,1721776942
23,puerto ayora,-0.7393,-90.3518,21.42,92,89,2.24,EC,1721776978
24,hasaki,35.7333,140.8333,31.27,82,88,4.56,JP,1721776979
25,causeni,46.6442,29.4139,23.57,53,61,2.93,MD,1721776980
26,badger,64.8,-147.5333,29.95,38,40,2.57,US,1721776980
27,luorong,24.4058,109.6086,26.43,90,96,0.07,CN,1721776981
28,west island,-12.1568,96.8225,25.99,73,75,4.12,CC,1721776981
29,serang,-6.1149,106.1502,22.25,84,21,0.71,ID,1721776982
30,ushuaia,-54.8,-68.3,3.81,81,75,18.52,AR,1721776915
31,puerto natales,-51.7236,-72.4875,3.83,77,98,6.07,CL,1721776984
32,lihue,21.9789,-159.3672,26.77,81,75,6.17,US,1721776984
33,p'ot'i,42.1462,41.672,22.81,88,0,1.29,GE,1721776985
34,arraial do cabo,-22.9661,-42.0278,18.98,82,0,2.57,BR,1721776985
35,nagqu,31.5,92.0,5.91,88,100,1.82,CN,1721776986
36,kourou,5.1552,-52.6478,28.03,87,66,3.34,GF,1721776986
37,invercargill,-46.4,168.35,10.01,74,78,2.24,NZ,1721776987
38,blackmans bay,-43.0167,147.3167,12.07,55,92,0.89,AU,1721776987
39,bhamo,24.2667,97.2333,24.11,99,100,0.15,MM,1721776988
40,sishui,35.6489,117.2758,28.88,86,100,1.73,CN,1721776988
41,san patricio,28.017,-97.5169,28.97,62,66,6.46,US,1721776989
42,pleiku,13.9833,108.0,20.25,98,100,5.72,VN,1721776990
43,fukuecho,32.6881,128.8419,29.2,94,75,5.14,JP,1721776990
44,bornu yassu,12.2774,12.5552,27.23,69,93,4.96,NG,1721776933
45,tefe,-3.3542,-64.7114,28.06,61,40,0.0,BR,1721776991
46,saipan,15.1355,145.701,28.39,83,75,3.6,MP,1721776992
47,port lincoln,-34.7333,135.8667,14.55,49,94,11.58,AU,1721776992
48,vryburg,-26.9566,24.7284,8.65,19,24,3.04,ZA,1721776993
